Projet	Titre du projet	Title Translated	Engagement de GdB (USD)	Descriptif	Agence de financement	Source de Financement	Région	Province	Commune	A l’Echelle National	Secteur	Sous-Secteur
BDI/000733	Etude de faisabilité et de construction de la voie ferrée ISAKA-BUJUMBURA	Feasibility study and construction of the railway ISAKA-Bujumbura			Banque Africaine de Développement	Banque Africaine de Développement	Non spécifié	Non spécifié	Non spécifié	Non	NON AFFECTE/ NON SPECIFIE	Secteur non spécifié
BDI/000734	Projet de réhabilitation et d'extension des infrastructures hydrauliques	Project of rehabilitation and extension of water infrastructure			Banque Africaine de Développement	Banque Africaine de Développement	Sud; Ouest; Centre-Est; Nord	Kayanza; Muramvya; Bururi; Gitega	Non spécifié	Non	DISTRIBUTION D’EAU ET ASSAINISSEMENT	Distribution d’eau et assainissement – systèmes à grande échelle
BDI/000735	Projet de réhabilitation et d'extension des infrastructures électriques	Project of rehabilitation and expansion of electricity infrastructure			Banque Africaine de Développement	Banque Africaine de Développement	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	PRODUCTION ET DISTRIBUTION D’ENERGIE	Transmission et distribution d’électricité
BDI/000736	Projet multisectoriel de réinsertion socio-économique et de création d'emplois	Multisectoral socio-economic reintegration and job creation	1150000		Banque Africaine de Développement	Banque Africaine de Développement	Sud; Ouest; Centre-Est; Nord	Kayanza; Rutana; Bujumbura Rural; Mairie de Bujumbura; Bururi; Gitega	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Autres multi secteurs
BDI/000737	Projet de Renforcement des Capacités Institutionnelles (PRCI)	Project Institutional Capacity Building (ICBP)			Banque Africaine de Développement	Banque Africaine de Développement	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Politique / planification économique et du développement
BDI/000738	STABEX/ Appui à la production vivrière I	STABEX / Support food production I			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000739	Programme d'appui à la Bonne Gouvernance	Support Good Governance Programme		Renforcer la capacité des médias burundais à faciliter un dialogue inclusif et promouvoir la cohésion sociale durant la période pré-électorale	Commission de l'Union Européenne; Department for International Development (DFID); Sida	Commission de l'Union Européenne; Royaume-Uni; Suède	Sud; Ouest; Centre-Est; Nord	Kayanza; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Gitega; Cibitoke; Karuzi	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000740	Améliorer les conditions sanitaires des populations  pauvres par un accès sûr, équitable et durable à l'eau et à l'assainissement des 4 provinces (Rutana, Ruyigi, Cankuzo,Kayanza)	Improve the health conditions of the poor through a safe, equitable and sustainable access to water and sanitation 4 provinces (Rutana, Ruyigi, Cankuzo, Kayanza)			Commission de l'Union Européenne	Commission de l'Union Européenne	Sud; Centre-Est; Nord	Kayanza; Cankuzo; Rutana; Ruyigi	Non spécifié	Non	DISTRIBUTION D’EAU ET ASSAINISSEMENT	Distribution d’eau potable de base et assainissement de base
BDI/000741	Programme d'appui et de renforcement des capacités des acteurs non étatiques (ARCANE)	Support and capacity building of NSAs program (ARCANE)		Renforcer les capacités opérationnelles et décisionnelles  des ANE  burundais	Commission de l'Union Européenne	Commission de l'Union Européenne	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES	En faveur des ONG nationales
BDI/000742	Appui à l'exploitation des ressources en eau potable, à la réhabilitation des infrastructures hygiéniques et leur gestion par les communautés rurales dans la province de Kirundo (GVC)	Support the operation of drinking water, rehabilitation of sanitary infrastructure and management by rural communities in the province of Kirundo (GVC)			Commission de l'Union Européenne	Commission de l'Union Européenne	Nord	Kirundo	Non spécifié	Non	DISTRIBUTION D’EAU ET ASSAINISSEMENT	Distribution d’eau potable de base et assainissement de base
BDI/000743	Projet d'appui à la restauration de la sécurité alimentaire durable (PARSAD)	Support the restoration of sustainable food security project (Parsad)			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000744	Programme Post-Conflit de Développement rural 9 ème FED (PPCDR)	Post-Conflict Rural Development Programme 9th EDF (PPCDR)		développer et distribuer une information de qualité et appropriée qui facilite une meilleure compréhension du passé du Burundi, pour que la population soit mieux capable d’orienter son destin autour de la cohésion (unité) et de contribuer à la réconciliation.	Commission de l'Union Européenne	Commission de l'Union Européenne	Centre-Est; Nord	Muyinga; Cankuzo; Kirundo; Ruyigi	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Autres multi secteurs
BDI/000745	Appui à l'ordonnateur du FED (CELON)	Support for Officer of the EDF (CELON)		Renforcer les capacités de gestion de l'aide de l'Union européenne au Burundi,	Commission de l'Union Européenne	Commission de l'Union Européenne	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	FRAIS ADMINISTRATIFS DES DONNEURS	Frais administratifs
BDI/000746	Projet d'Appui à la Reconstruction du Système Educatif Burundais (PARSEB)	Support Project for the Reconstruction of the Burundian Education System (PARSEB)		Les objectifs de développement du Projet d’appui à la reconstruction du secteur éducatif burundais consistent à : (a) améliorer la capacité des écoles d’assurer l’éducation d’un nombre en augmentation rapide d’élèves de l’enseignement primaire ; (b) aider le Gouvernement du Burundi à réaliser des analyses de politiques, la planification stratégique et l’exécution des programmes. Ce projet comprend trois composantes. La composante 1 porte sur l’extension des installations scolaires. La composante 2 appuie l’enseignement et l’apprentissage.	Association Internationale de Développement (Banque Mondiale)	Banque mondiale	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	EDUCATION	Politique de l’éducation et gestion administrative
BDI/000747	STABEX/Réhabilitation 1ère Urgence café	STABEX / 1st Emergency Rehabilitation coffee			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Récoltes destinées à l’exportation
BDI/000748	Programme de démobilisation, de réinsertion et de réintégration des démobilisés (DDR)	Demobilization, rehabilitation and reintegration of demobilized (DDR)			Association Internationale de Développement (Banque Mondiale); Commission de l'Union Européenne; Ministère des Affaires Etrangères Norvégienne; Pays Bas	Banque mondiale; Commission de l'Union Européenne; Norvège; Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Gestion et réforme des systèmes de sécurité
BDI/000749	Projet de Développement du Secteur Routier	Development Project Road Sector			Association Internationale de Développement (Banque Mondiale)	Banque mondiale	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	CONSTRUCTION	Politique de la construction et gestion administrative
BDI/000750	Programme de Réhabilitation du Secteur Agricole et Gestion Durable des Terres (PRASAB)	Rehabilitation Programme Agricultural Sector and Sustainable Land Management (PRASAB)			Association Internationale de Développement (Banque Mondiale); Fonds Mondial de l'Environnement	Banque mondiale; Nations Unies	Sud; Ouest; Centre-Est; Nord	Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bururi; Makamba	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000751	Burundi Leadership Program	Burundi Leadership Program			Association Internationale de Développement (Banque Mondiale)	Banque mondiale	Non spécifié	Non spécifié	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Éducation et formation plurisectorielles
BDI/000752	Projet d'Appui à la Gestion Economique (PAGE)	Support Project for Economic Management (PAGE)	8000000	Améliorer l'efficience de la gestion macro-économique, financière et administrative des finances publiques en renforçant l'obligation de rendre compte et la transparence par l'amélioration des procédures et des contrôles	Association Internationale de Développement (Banque Mondiale)	Banque mondiale	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Politique / planification économique et du développement
BDI/000753	Programme Multisectoriel de Lutte contre le SIDA et l'Assistance aux Orphelins (II)	Multisectoral Programme for the Fight against AIDS and Assistance to Orphans (II)			Association Internationale de Développement (Banque Mondiale)	Banque mondiale	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Éducation et formation médicales
BDI/000754	Don d'Assistance au Réformes Économiques (DARE I&II)	Don Assistance to Economic Reforms (DARE I & II)			Association Internationale de Développement (Banque Mondiale); Belgique; Norvège; Pays Bas	Banque mondiale; Belgique; Norvège; Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Gestion financière du secteur public
BDI/000755	Projet d'infrastructures d'information et de communication(RCIP2)	Information and communication infrastructure project (RCIP2)			Association Internationale de Développement (Banque Mondiale)	Banque mondiale	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	COMMUNICATIONS	Technologies de l’information et de la communication (TIC)
BDI/000756	Appui à la mise en place d'une Commission Nationale Indépendante des Droits de l'Homme et au Lancement de ses activités	Support the establishment of an Independent National Commission on Human Rights and the Launch of its activities			Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP))	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Développement des services légaux et judiciaires
BDI/000757	Projet de formation des techniciens de Labo sur la PCR	Project Technician Training Lab PCR		Projet de 12 mois pour les  3 provinces du sud du pays	Non spécifié	Non spécifié	Sud	Rutana; Bururi; Makamba	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000760	CapEFA:Renforcement des capacités pour les politiques et pratiques en matière des enseignants.	CapEFA: Capacity building for policy and practices of teachers.		L'objectif général du projet est de contribuer à atteindre les objectifs de l'EPT. Son objectif spécifique est le renforcement des institutions des ministères de l'éducation en matière de gestion de la question enseignante.Les résultats attendus du projet sont (i) un consensus entre le gouvernement et les partenaires sociaux est obtenu sur le renforcement des capacités nationales en matière de politique et programme relatifs aux enseigants, (ii) l'évaluation des besoins en renforcement des capacités institutionnelles des ministères de l'éducation en matière de gestion de la question enseignante est réalisée et (iii) un plan de renforcement des capacités est élaboré. Les principales activités sont: réalisation et validation  de l'étude diagnostic, identification des besoins en formation et mis en oeuvre du PA	UNESCO	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	EDUCATION	Enseignement primaire; Enseignement secondaire; Enseignement supérieur
BDI/000761	Appui à la Réintégration Socio économioque des Rapatriés de M'tabila	Support for Reintegration of Returnees Socio économioque M'tabila			Japon; Pays Bas; Programme des Nations Unies pour le Développement	Japon; Nations Unies; Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000762	Programme integré d'appui à la mise en oeuvre de la stratégie nationale de réintégration socio-économique des populations affectées par le conflit-PBF II	Integrated to support the implementation of the national strategy for socio-economic reintegration of populations affected by the conflict-PBF II program		Il s'agit d'un Programme intégré de réintégration ayant pour objectifs: -le renforcement de la cohésion sociale intra communautaire à travers la promotion du developpement local, la prévention et la résolution pacifique des conflits, notamment dans le domaine foncier -l'amélioration de l'offre, la qualité et l'entretien des infrastructures socio économiques et communautaires -l'accompagnement de la réintégration socio économique durable des populations cibles à travers la relance des acticités productives et la promotion de l'entreprenariat local	Non spécifié	Non spécifié	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Dispositifs civils de construction de la paix, et de prévention et de règlement des conflits
BDI/000764	Sécurité alimentaire pour les agriculteurs défavorisés (KR2)	Food security for poor farmers (KR2)		Distribuer des engrais pour les riziculteurs de l'Imbo pour améliorer leur production et collecter la contrepartie pour les autres projets du MINAGRI	Japan International Cooperation Agency (JICA)	Japon	Ouest	Bubanza; Bujumbura Rural; Cibitoke	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000765	Aide alimentaire (blé Panifiable: le don japonais)	Food aid (wheat for making bread: Japanese donation)		Examine avec les opérateurs locaux oeuvrant dans le secteur des minoteries, des voies et des moyens d'entreposer et acheter dans les meilleurs conditions possibles	Japan International Cooperation Agency (JICA)	Japon	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AIDE HUMANITAIRE	Aide alimentaire d’urgence
BDI/000766	Amélioration des condition de vie dans les régions affetcées par les conflits dans la provinces de Gitega	Improvement of living conditions in regions affetcées conflict in Gitega			Japan International Cooperation Agency (JICA)	Japon	Centre-Est	Gitega	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000767	IPSR200164	IPSR200164			Canadian International Development Agency (CIDA); Central Emergency Response Fund; Commission de l'Union Européenne; Etats Unis d'Amérique; Ambassade de France au Burundi; Programme Alimentaire Mondial; Suisse; Multilateral Grant	Canada; Commission de l'Union Européenne; États Unis d'Amérique; France; Nations Unies; Suisse	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AIDE HUMANITAIRE	Aide alimentaire d’urgence
BDI/000768	Psycosocial VVBGs	Psycosocial VVBGs			Fonds des Nations Unies pour la Poppulation	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000769	Plaidoyer pour les lois égalitaire entre genres	Advocacy for equality between genders laws			Fonds des Nations Unies pour la Poppulation	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000770	Renforcement des capacités des décideurs en politique et développment	Capacity building of policy makers and development			Fonds des Nations Unies pour la Poppulation	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000771	Accès à l'utilisation des services de planification familiale (FNUAP-PAYS BAS)	Access to and use of family planning services (UNFPA-NETHERLANDS)			Fonds des Nations Unies pour la Poppulation; Pays Bas	Nations Unies; Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Soins et services de santé de base
BDI/000772	Appui aux services de santé maternelle	Support for maternal health services			Fonds des Nations Unies pour la Poppulation	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Soins et services de santé de base
BDI/000773	Prévention VIH/SIDA	HIV / AIDS prevention			Fonds des Nations Unies pour la Poppulation	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Politique de la santé et gestion administrative
BDI/000775	Accès des jeunes aux services SRAJ	Youth access to services SRAJ			Fonds des Nations Unies pour la Poppulation	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	NON AFFECTE/ NON SPECIFIE	Sensibilisation au développement
BDI/000776	Lutte contre les fistules	Fight against fistula			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Services médicaux
BDI/000777	Nawe arashoboye (She can too) Women's Leadership and Participation	Nawe arashoboye (She can too) Women's Leadership and Participation			UnitedNations Democratic Fund	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	NON AFFECTE/ NON SPECIFIE	Secteur non spécifié
BDI/000778	Fight against Sexual&Gender based violence	Fight against Sexual&Gender based violence		Assurer la mise en oeuvre de la stratégie nationale de lutte contre les violences basées sur le genre	United Nations Trust Fund	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	NON AFFECTE/ NON SPECIFIE	Secteur non spécifié
BDI/000779	Soutenir le Burundi à traduire les engagements d'égalité des genres dans les faits	Support Burundi translate commitments to gender equality in practice			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	NON AFFECTE/ NON SPECIFIE	Secteur non spécifié
BDI/000780	Regional Cassava Initiative in support of vulnerable smallholders in Central and Eastern Africa	Regional Cassava Initiative in support of vulnerable smallholders in Central and Eastern Africa			Commission de l'Union Européenne	Commission de l'Union Européenne	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AGRICULTURE	Production agricole
BDI/000781	Appui à la réintégration - PBF II	Reintegration support - PBF II			Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP))	Nations Unies	Ouest	Bujumbura Rural; Cibitoke	Non spécifié	Non	INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS	Services sociaux
BDI/000782	Appui à la réintégration socio-économique durable en faveur des personnes affectées par les conflits (P3P)	Support sustainable socio-economic reintegration for people affected by conflict (P3P)	226792	- Réintégrer de manière pacifique les populations affectées par les conflits dans leurs communautés d’origine et/ou d’accueil;  -       Renforcer les  mécanismes de dialogue, de prévention et résolution des conflits  et rétablir le climat de confiance entre les populations et les autorités locales ;  -       Permettre aux populations affectées par les conflits d'avoir accès à des moyens de subsistance durables en appui à leur réintégration socioéconomique ;  -       Renforcer les capacités nationales aux niveaux central, provincial, local et communautaire en matière de politique, planification, coordination et suivi du processus de réintégration	Austrarian Foreign Ministry; Japan International Cooperation Agency (JICA); Programme des Nations Unies pour le Développement	Australie; Japon; Nations Unies	Ouest	Bubanza; Bujumbura Rural; Cibitoke	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000784	Réduction de l'impact des changements climatiques et des risques de catastrophes	Reducing the impact of climate change and disaster risk			Fonds Mondial de l'Environnement; Programme des Nations Unies pour le Développement	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Éducation et formation environnementales
BDI/000786	KARADIRIDIMBA/RSS-GAVI	KARADIRIDIMBA / RSS GAVI		Renforcer le système de la santé	Glabal Alliance for Vaccines and Immunization	Glabal Alliance for Vaccines and Immunization	Sud; Ouest; Centre-Est; Nord	Kayanza; Mwaro; Kirundo; Bujumbura Rural; Bururi; Gitega	Non spécifié	Non	SANTE	Santé, général
BDI/000787	NGOZI seed and food testing laboratory project( projet de laboratoire d'analyse de la qualité des semences et des aliments de l'Université de NGOZI)	Ngozi seed and food testing laboratory project (project analyzing the quality of seeds and food from the University of Ngozi laboratory)		Augmenter la disponibilité des semences de qualité et contribuer au contrôle de la bonne qualité des aliments consommés par la population	United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AGRICULTURE	Recherche agronomique
BDI/000788	Initiative OMD - Projet pour accélérer l'atteinte de l'OMD1c (PROPA-O)	MDG Initiative - Project to accelerate the achievement of OMD1c (PROPA-O)			Commission de l'Union Européenne	Commission de l'Union Européenne	Sud; Ouest; Centre-Est	Cankuzo; Bubanza; Rutana; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Cibitoke	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000789	Aide aux refugiés, aux rapatriés, lutte contre la malnutition aigüe moderne	Assistance to refugees, returnees, fight against modern acute malnutition			United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AIDE HUMANITAIRE	Aide alimentaire d’urgence
BDI/000791	Projet d'efficacité énergétique "PEE"	Energy efficiency project "PEE"		Développer et adapter des cadres politiques pour l'efficacité énergétique, et améliorer de manière sélective , l'efficacité energétique des bâtiments et des ménages	Banque Mondiale	Banque mondiale	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	PRODUCTION ET DISTRIBUTION D’ENERGIE	Politique de l’énergie et gestion administrative
BDI/000792	Agribusiness chamber capacity strengtening project(renforcement des capacités de la chambre de l'Agribusiness	Agribusiness project strengtening chamber capacity (capacity of the chamber of Agribusiness		Renforcer la capacité institutionnelle et opérationnelle de la chambre de l'Agribusiness afin que la chambre puisse pleinement jouer son rôle de mobilisation et de plaidoyer pour le secteur	United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	INDUSTRIES MANUFACTURIERES	Agro-industries
BDI/000794	Promoting citisenship and access to justice for the Batwa indigenous people of Burundi( promotion de la citoyenneté et accès à la justice pour le peuple autochtone Batwa du Burundi)	Promoting citisenship and access to justice for the Batwa indigenous people of Burundi( promotion de la citoyenneté et accès à la justice pour le peuple autochtone Batwa du Burundi)		Sensibiliser le Batwa sur l'importance de posséder la carte nationale d'identité et les extraits d'actes de naissance , les informer sur le contenu des textes et des lois fondamentaux (les) du Burundi tels(les) que la constitution, le code électoral, la loi communal etc...	United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Cankuzo; Rutana; Kirundo; Muramvya; Ruyigi; Makamba; Gitega	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
